assembly,proteins,sampe,lab,assembler,assembler2,ribodeplete,dereplicate,%Similarity,proteinpredict,Sample_ID,Concentration,Bioanalyzer_conc,RIN,Filter_A,Filter_B,Filter_C,Filter_D,Filter_E,Filter_F,NucleoMag_RNA,Qiagen_AllPrep_RNA_DNA,Qiagen_PowerWater_RNA,Qiagen_RNeasy,Qiagen_RNeasy_Plant_Mini_Kit,RNAqueous-4PCR_Total_RNA_Isolation_,Trizol,Zymo_kit_Direct-zol_RNA_MiniPrep_Plus,Zymo_Quick_DNA_RNA_miniprep_kit,Zymo_RNA_Quick,Columbia_Genome_Center,rRNA_depletion_with_riboPOOLs_AA,rRNA_depletion_with_riboPOOLs,NEBNext_NovaSeq_S4,Genewiz,UGA,Northwest_Genomics_Center,polyA,total,Lab01,Lab02,Lab03,Lab04,Lab05,Lab06,Lab07,Lab08,Lab09,Lab10,Lab11,Lab12,Lab13
HS037_CAG,7624,B,,,,,,,,HS037,98.2,398.88,4.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HS038_CAG,137217,B,,,,,,,,HS038,122.1,101.39184,6.7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HS039_CAG,351027,B,,,,,,,,HS039,77.6,21.74352,6.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS040_CAG,70921,B,,,,,,,,HS040,63.4,236.63416,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HS041_CAG,150872,B,,,,,,,,HS041,24.8,8.41216,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HS042_CAG,119101,B,,,,,,,,HS042,148.2,86.2524,7.7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HS043_CAG,36596,B,,,,,,,,HS043,31.3,43.28164,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HS044_CAG,488623,B,,,,,,,,HS044,24.4,10.645,7.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HS045_CAG,172241,B,,,,,,,,HS045,21.3,7.63392,7.6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HS046_CAG,225876,B,,,,,,,,HS046,46.9,70.3969,7.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HS047_CAG,123699,B,,,,,,,,HS047,33.8,86.48068,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HS048_CAG,159230,B,,,,,,,,HS048,64,64,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HS049_CAG,56061,B,,,,,,,,HS049,77.2,39.904,2.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HS050_CAG,150412,B,,,,,,,,HS050,48.5,74.144,7.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HS051_CAG,44063,B,,,,,,,,HS051,143,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HS052_CAG,770616,B,,,,,,,,HS052,227.9,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
HS053_CAG,1178412,B,,,,,,,,HS053,241.5,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
HS054_CAG,497183,B,,,,,,,,HS054,122,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HS055_CAG,642121,B,,,,,,,,HS055,185,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HS056_CAG,325879,B,,,,,,,,HS056,56.6,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HS057_CAG,327675,B,,,,,,,,HS057,175.5,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HS058_CAG,6590308,C,,,,,,,,HS058,75.2,,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HS059_CAG,1384989,B,,,,,,,,HS059,66,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HS060_CAG,1280145,B,,,,,,,,HS060,61.8,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MAD,15851149,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
